Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
HL_17,0.207083695383563,0.0627446176334415,0.0115139666881561,0.071172394162069,0,0.183699569673034,0.0803163316634045,0,0,0,0.043462981109836,0,0.0597473603549718,0.0176758403872216,0.0261861977978331,0.226797013790305,0,0.00807713467780299,0.00152289667836104,0,0,0,0,0.489059610298291,0.872979651104529
HL_18,0.350520437308248,0,0,0.0417335186249234,0.0315152214218887,0.248179722558169,0.056212366712131,0.0291768370997578,0.00364207226266149,0,0.0474726829893581,0,0.00218447950330477,0.0386954215156046,0.0153620309274955,0.0917522848330951,0,0.0401159809401857,0.00343694330317716,0,0,0,0,0.573561090325136,0.820592378575999
HL_30,0.311522243306168,0,0,0.116079953658197,0,0.287377304529501,0.042010675281111,0,0.0105817886305969,0,0.0372574499445157,0,0.0194642118303245,0.0378083849690191,0.0110662374592993,0.0613966381773266,0.00603673334044096,0.0545797076304253,0.00481867124307451,0,0,0,0,0.601316244175574,0.803817377621858
HL_33,0.239677359722279,0,0,0.0662549927532489,0,0.166056065536595,0.0542983043860639,0.0693159409369135,0.0373597668287323,0,0.0567165260292695,0,0.0166849929361559,0.0594518967221381,0.00464246319913029,0.169160410366667,0,0.0426952782353113,0.0176860023474958,0,0,0,0,0.355183563597077,0.937579127212188
HL_34,0.0945362425380888,0,0.00456230562828227,0.11715972473895,0,0.106216233415154,0.0346771688452568,0.0401776729517508,0.00672042799564774,0,0,0.00744696605377643,0.0155115166659207,0.105530978847596,0.0313564863489242,0.435499532341817,0,0,0.000604743628834716,0,0,0,0,0.637685348541805,0.792540479861253
HL_38,0.0607175236727781,0,0,0.0759268064381284,0,0.0446946806480244,0.0268100930059411,0.0873273798299491,0.0500347832373161,0,0,0.0381828643105818,0,0.118927063649308,0.228280111130379,0.251316998682504,0.015195698242811,0,0.00258599715227871,0,0,0,0,0.555723734253909,0.832054945255234
HL_39,0.0739093317218292,0,0,0.0864667518216494,0,0.207022791583645,0.0306436997660127,0.0898089818393339,0.0461925450184952,0,0,0,0,0.0831334492353081,0.148142481868869,0.172058598148048,0.0553351377425283,0,0.00728623125428127,0,0,0,0,0.497119831096177,0.868240476683912
